date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:20:32	25899/25899	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Jun%202018%2005:07:07%20GMT	https://d29u17ylf1ylz9.cloudfront.net/blazen-v1.html	G:/Sanket_project/bl/Blazen/d29u17ylf1ylz9.cloudfront.net/blazen-v1.html	(from )
18:20:33	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Mon,%2011%20Jun%202018%2018:20:36%20GMT	https://d29u17ylf1ylz9.cloudfront.net/robots.txt		(from )
18:20:33	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%229c9a750812bab056b475fb9cc078f51e%22	https://d29u17ylf1ylz9.cloudfront.net/p2/img/favicon.ico	G:/Sanket_project/bl/Blazen/d29u17ylf1ylz9.cloudfront.net/p2/img/favicon.ico	(from https://d29u17ylf1ylz9.cloudfront.net/blazen-v1.html)
18:20:34	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%221519106276%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	G:/Sanket_project/bl/Blazen/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	(from https://d29u17ylf1ylz9.cloudfront.net/blazen-v1.html)
18:20:34	30999/30999	---MCZ	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2007:37:39%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/css/font-awesome.min.css	G:/Sanket_project/bl/Blazen/d29u17ylf1ylz9.cloudfront.net/p2/css/font-awesome.min.css	(from https://d29u17ylf1ylz9.cloudfront.net/blazen-v1.html)
18:20:34	7067/7067	---MCZ	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2007:37:38%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/css/et-line.css	G:/Sanket_project/bl/Blazen/d29u17ylf1ylz9.cloudfront.net/p2/css/et-line.css	(from https://d29u17ylf1ylz9.cloudfront.net/blazen-v1.html)
18:20:35	25357/25357	---MCZ	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2007:37:40%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/css/plugins.css	G:/Sanket_project/bl/Blazen/d29u17ylf1ylz9.cloudfront.net/p2/css/plugins.css	(from https://d29u17ylf1ylz9.cloudfront.net/blazen-v1.html)
18:20:35	19878/19878	---MCZ	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2007:37:33%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/style.css	G:/Sanket_project/bl/Blazen/d29u17ylf1ylz9.cloudfront.net/p2/style.css	(from https://d29u17ylf1ylz9.cloudfront.net/blazen-v1.html)
18:20:35	1582/1582	---MCZ	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2007:37:40%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/css/responsive.css	G:/Sanket_project/bl/Blazen/d29u17ylf1ylz9.cloudfront.net/p2/css/responsive.css	(from https://d29u17ylf1ylz9.cloudfront.net/blazen-v1.html)
18:20:35	15514/15514	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2016%20May%202018%2007:56:41%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/js/vendor/modernizr-2.8.3.min.js	G:/Sanket_project/bl/Blazen/d29u17ylf1ylz9.cloudfront.net/p2/js/vendor/modernizr-2.8.3.min.js	(from https://d29u17ylf1ylz9.cloudfront.net/blazen-v1.html)
18:20:36	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Mon,%2011%20Jun%202018%2018:20:39%20GMT	https://d29u17ylf1ylz9.cloudfront.net/blazen.html	G:/Sanket_project/bl/Blazen/d29u17ylf1ylz9.cloudfront.net/blazen.html	(from https://d29u17ylf1ylz9.cloudfront.net/blazen-v1.html)
18:20:37	1742/1742	---M--	200	added ('OK')	image/png	etag:%22fd602fda237545ed4a4cba007fff16bf%22	https://d29u17ylf1ylz9.cloudfront.net/p2/img/blazen/logo.png	G:/Sanket_project/bl/Blazen/d29u17ylf1ylz9.cloudfront.net/p2/img/blazen/logo.png	(from https://d29u17ylf1ylz9.cloudfront.net/blazen-v1.html)
18:20:37	3246/3246	---M--	200	added ('OK')	image/png	etag:%22c1a7fc55b647fcb0abf3106818998094%22	https://d29u17ylf1ylz9.cloudfront.net/p2/img/blazen/logo-dark.png	G:/Sanket_project/bl/Blazen/d29u17ylf1ylz9.cloudfront.net/p2/img/blazen/logo-dark.png	(from https://d29u17ylf1ylz9.cloudfront.net/blazen-v1.html)
